open,high,low,close,volume,symbol,date,ta
64.6,64.96,63.44,63.65,1217488,ALE,2021-03-15,0
64.0,64.79,63.18,63.63,877016,ALE,2021-03-16,0
60.0,60.3,58.1,59.76,18032806,ALE,2021-03-17,0
60.0,60.69,58.59,59.97,6259063,ALE,2021-03-18,0
59.99,60.04,59.43,59.64,7728144,ALE,2021-03-19,0
60.0,60.1,58.5,58.8,16046948,ALE,2021-03-22,0
58.73,59.16,56.3,56.8,4003505,ALE,2021-03-23,0
56.59,56.59,53.41,54.5,4841732,ALE,2021-03-24,0
54.98,55.5,51.96,52.86,4048175,ALE,2021-03-25,0
53.5,53.7,51.9,52.75,2498746,ALE,2021-03-26,0
53.4,54.4,52.05,52.66,3384592,ALE,2021-03-29,0
53.3,54.72,52.8,54.57,2390920,ALE,2021-03-30,0
55.0,55.67,53.64,55.57,3804694,ALE,2021-03-31,0
56.45,56.7,55.6,56.06,3008664,ALE,2021-04-01,0
57.04,57.6,56.6,57.5,1847719,ALE,2021-04-06,0
57.35,57.38,55.8,56.56,1648173,ALE,2021-04-07,0
56.9,56.9,55.81,56.17,1033468,ALE,2021-04-08,0
56.44,59.03,56.01,58.5,2189710,ALE,2021-04-09,0
58.3,58.4,56.52,57.24,958936,ALE,2021-04-12,0
57.54,57.89,56.7,57.38,853514,ALE,2021-04-13,0
57.91,59.25,57.71,59.25,1267067,ALE,2021-04-14,0
59.25,59.44,57.8,58.34,1011597,ALE,2021-04-15,0
58.0,58.48,57.16,57.16,1110516,ALE,2021-04-16,0
57.15,58.31,55.78,56.22,810233,ALE,2021-04-19,0
56.24,56.92,54.16,55.0,1296422,ALE,2021-04-20,0
55.0,55.96,54.22,54.37,1246621,ALE,2021-04-21,0
54.9,56.78,54.65,56.2,1458275,ALE,2021-04-22,0
56.2,56.68,55.49,56.5,1354451,ALE,2021-04-23,0
56.8,57.18,55.91,56.6,927036,ALE,2021-04-26,0
56.79,57.29,56.01,56.52,633127,ALE,2021-04-27,0
56.76,57.7,56.15,57.5,1301799,ALE,2021-04-28,0
57.99,58.45,57.1,57.4,982923,ALE,2021-04-29,0
57.5,58.34,55.87,58.14,1339375,ALE,2021-04-30,0
57.75,57.83,54.08,54.08,1483111,ALE,2021-05-04,0
54.2,54.87,52.88,53.01,1121237,ALE,2021-05-05,0
53.0,53.63,51.23,51.62,2176146,ALE,2021-05-06,0
51.11,54.98,50.9,54.86,1425325,ALE,2021-05-07,0
55.04,55.47,52.5,53.17,968193,ALE,2021-05-10,0
53.0,53.25,51.74,51.8,1115028,ALE,2021-05-11,0
51.9,52.93,51.85,52.34,1484928,ALE,2021-05-12,0
54.4,55.86,51.12,51.23,4044396,ALE,2021-05-13,0
52.0,52.4,49.105,52.4,2252936,ALE,2021-05-14,0
53.0,55.98,52.8,55.61,2798685,ALE,2021-05-17,0
55.74,58.75,55.71,57.0,3935818,ALE,2021-05-18,0
57.5,57.7,56.45,57.2,3569170,ALE,2021-05-19,0
57.5,57.7,56.55,57.21,1102150,ALE,2021-05-20,0
57.75,57.75,56.67,57.46,1885792,ALE,2021-05-21,0
57.46,57.5,56.8,56.9,527238,ALE,2021-05-24,0
56.94,58.9,56.94,58.4,1016722,ALE,2021-05-25,0
