index,open,high,low,close,volume,symbol,date,ta
410,35.5342,36.0438,34.9569,34.9569,794826.41473874,PKN,2020-10-21,0
412,34.7064,35.2829,34.2881,34.9902,1013823.5556081,PKN,2020-10-22,0
414,35.1405,35.7099,34.7398,34.9234,1641137.3860962,PKN,2020-10-23,0
416,34.5218,34.7731,33.5518,33.5518,994397.35354172,PKN,2020-10-26,0
418,33.6186,33.7021,31.8542,32.3225,2264493.1421387,PKN,2020-10-27,0
420,31.7794,32.6151,31.1098,31.5615,1581602.3928391,PKN,2020-10-28,0
422,33.2003,33.2346,31.5615,32.6072,2309308.8326703,PKN,2020-10-29,0
424,32.5905,32.5905,31.4025,31.8629,1810212.4879471,PKN,2020-10-30,0
426,32.2135,32.6072,31.7794,32.5404,1479424.2116716,PKN,2020-11-02,0
428,32.783,35.8601,32.6986,35.7679,3515344.8137503,PKN,2020-11-03,0
430,35.6255,35.7266,33.6352,34.296,1987284.5389439,PKN,2020-11-04,0
432,34.4472,34.8733,33.8031,34.1036,1837367.0636651,PKN,2020-11-05,0
434,34.0535,34.1036,32.4147,32.9999,1559971.8232623,PKN,2020-11-06,0
436,33.5518,37.9673,33.05,37.7502,4855184.878483,PKN,2020-11-09,0
438,38.4691,41.6385,37.7169,40.092,4667301.525809,PKN,2020-11-10,0
440,39.991,40.9777,38.1184,39.2388,3177118.3619209,PKN,2020-11-12,0
442,39.1799,39.1799,37.8003,38.2687,1405753.7259795,PKN,2020-11-13,0
444,39.172,41.5472,38.9796,41.4804,3262237.4470734,PKN,2020-11-16,0
446,41.8064,43.3863,40.9866,42.1157,4217627.6241636,PKN,2020-11-17,0
448,42.1157,43.8714,41.6886,43.8213,2133264.4243487,PKN,2020-11-18,0
450,43.1526,43.3028,41.8477,42.0489,1909734.5029972,PKN,2020-11-19,0
452,42.0656,42.1825,40.4347,41.8477,3246305.0024964,PKN,2020-11-20,0
454,43.3195,44.2229,42.316,43.939,2084756.9588023,PKN,2020-11-23,0
456,44.323,45.4777,44.2562,45.1763,2483465.2463095,PKN,2020-11-24,0
458,45.5945,46.1631,44.4909,44.7412,2257144.8710935,PKN,2020-11-25,0
460,44.758,45.3098,44.4574,45.1595,861139.52513163,PKN,2020-11-26,0
462,44.9926,44.9926,43.9891,44.758,1026356.6993314,PKN,2020-11-27,0
464,44.156,48.5715,42.3828,46.2799,9190882.1592479,PKN,2020-11-30,0
466,47.6682,48.0698,46.6648,47.6516,2805347.2860664,PKN,2020-12-01,0
468,47.8695,47.8695,46.2131,47.0997,1929125.4260791,PKN,2020-12-02,0
470,47.25,47.4846,46.3976,46.3976,1751284.0656156,PKN,2020-12-03,0
472,47.1832,48.17,46.5646,48.0865,1985883.6218529,PKN,2020-12-04,0
474,48.2034,50.0601,47.5681,49.8431,3161783.3840155,PKN,2020-12-07,0
476,49.7596,50.7464,49.1735,50.177,2543330.2687757,PKN,2020-12-08,0
478,50.177,52.2683,50.0935,51.5987,3074807.0310381,PKN,2020-12-09,0
480,51.6488,52.1514,50.2613,51.8334,2574135.6503653,PKN,2020-12-10,0
